,timestamp,media,topic_num,model,mse,mae,epochs,lr,discard_index
32,2022-11-16 14:16:28,patents,11,agcrn,0.0550086125731468,0.1899639517068863,200,0.001,12
48,2022-11-16 14:27:18,papers,8,agcrn,0.0581186637282371,0.1109644547104835,200,0.001,12
45,2022-11-16 14:26:40,papers,7,tgcn,0.0584683641791343,0.1023292914032936,200,0.001,12
37,2022-11-16 14:24:55,papers,3,tgcn,0.0585176460444927,0.0981841385364532,200,0.001,12
57,2022-11-17 00:20:48,papers,1,a3tgcn,0.0586127713322639,0.1044530123472213,200,0.001,12
42,2022-11-16 14:26:02,papers,5,agcrn,0.0586268119513988,0.1289603114128112,200,0.001,12
33,2022-11-16 14:23:59,papers,1,tgcn,0.0586999468505382,0.1039735823869705,200,0.001,12
59,2022-11-17 00:21:15,papers,3,a3tgcn,0.0588864013552665,0.1043758243322372,200,0.001,12
63,2022-11-17 00:22:07,papers,7,a3tgcn,0.0591049268841743,0.1059569120407104,200,0.001,12
49,2022-11-16 14:36:56,papers,1,dcrnn,0.0593485198915004,0.1008403226733207,200,0.001,12
44,2022-11-16 14:26:28,papers,6,agcrn,0.0594156868755817,0.108311727643013,200,0.001,12
41,2022-11-16 14:25:48,papers,5,tgcn,0.0594338364899158,0.1043650135397911,200,0.001,12
62,2022-11-17 00:21:54,papers,6,a3tgcn,0.0595403425395488,0.1043533682823181,200,0.001,12
43,2022-11-16 14:26:15,papers,6,tgcn,0.0596024021506309,0.1020452007651329,200,0.001,12
46,2022-11-16 14:26:53,papers,7,agcrn,0.0599005743861198,0.1062060222029686,200,0.001,12
53,2022-11-16 14:38:07,papers,5,dcrnn,0.0600636005401611,0.1036904454231262,200,0.001,12
38,2022-11-16 14:25:08,papers,3,agcrn,0.0606174953281879,0.1161523088812828,200,0.001,12
51,2022-11-16 14:37:31,papers,3,dcrnn,0.060682475566864,0.0970028117299079,200,0.001,12
39,2022-11-16 14:25:21,papers,4,tgcn,0.0610787086188793,0.0981853753328323,200,0.001,12
47,2022-11-16 14:27:06,papers,8,tgcn,0.0611136481165885,0.1030550971627235,200,0.001,12
60,2022-11-17 00:21:28,papers,4,a3tgcn,0.061319887638092,0.098053477704525,200,0.001,12
61,2022-11-17 00:21:41,papers,5,a3tgcn,0.0614337809383869,0.1048564314842224,200,0.001,12
52,2022-11-16 14:37:49,papers,4,dcrnn,0.0614846758544445,0.0966537520289421,200,0.001,12
