,timestamp,media,topic_num,model,mse,mae,epochs,lr,discard_index
60,2022-11-18 20:16:16,papers,8,agcrn,0.0474102832376956,0.0939378142356872,200,0.001,0
50,2022-11-18 20:15:06,papers,7,tgcn,0.0475731566548347,0.087297573685646,200,0.001,0
20,2022-11-18 20:11:17,papers,3,agcrn,0.0477701425552368,0.1052353680133819,200,0.001,0
44,2022-11-18 20:14:19,papers,6,agcrn,0.0480830110609531,0.0920998826622963,200,0.001,0
52,2022-11-18 20:15:19,papers,7,agcrn,0.0483968928456306,0.0892876088619232,200,0.001,0
28,2022-11-18 20:12:20,papers,4,agcrn,0.0487385466694831,0.1104112714529037,200,0.001,0
36,2022-11-18 20:13:20,papers,5,agcrn,0.0488816313445568,0.1209736540913581,200,0.001,0
42,2022-11-18 20:14:05,papers,6,tgcn,0.0489762797951698,0.0882722586393356,200,0.001,0
5,2022-11-18 20:09:30,papers,1,a3tgcn,0.049106940627098,0.089191161096096,200,0.001,0
46,2022-11-18 20:14:32,papers,6,a3tgcn,0.0494313389062881,0.0887515991926193,200,0.001,0
1,2022-11-18 20:08:55,papers,1,tgcn,0.0495298653841018,0.0899814814329147,200,0.001,0
18,2022-11-18 20:11:02,papers,3,tgcn,0.0497693493962287,0.0888503044843673,200,0.001,0
22,2022-11-18 20:11:30,papers,3,a3tgcn,0.0498162619769573,0.0880564153194427,200,0.001,0
0,2022-11-18 20:08:37,papers,1,dcrnn,0.0499492660164833,0.0889036878943443,200,0.001,0
53,2022-11-18 20:15:32,papers,7,a3tgcn,0.0506050214171409,0.0881821736693382,200,0.001,0
58,2022-11-18 20:16:02,papers,8,tgcn,0.0509193055331707,0.0944197475910186,200,0.001,0
9,2022-11-18 20:10:02,papers,2,tgcn,0.0510865226387977,0.0882646441459655,200,0.001,0
30,2022-11-18 20:12:33,papers,4,a3tgcn,0.0514080338180065,0.0903337597846984,200,0.001,0
26,2022-11-18 20:12:05,papers,4,tgcn,0.0514622218906879,0.0930519700050354,200,0.001,0
3,2022-11-18 20:09:13,papers,1,agcrn,0.0514793880283832,0.1026439219713211,200,0.001,0
16,2022-11-18 20:10:49,papers,3,dcrnn,0.0514802038669586,0.0901839062571525,200,0.001,0
62,2022-11-18 20:16:28,papers,8,a3tgcn,0.0518244169652462,0.0951314568519592,200,0.001,0
12,2022-11-18 20:10:17,papers,2,agcrn,0.0520623214542865,0.09608805924654,200,0.001,0
24,2022-11-18 20:11:50,papers,4,dcrnn,0.0521839745342731,0.0923845469951629,200,0.001,0
13,2022-11-18 20:10:30,papers,2,a3tgcn,0.0523421913385391,0.09306550770998,200,0.001,0
34,2022-11-18 20:13:04,papers,5,tgcn,0.0534045249223709,0.1060689538717269,200,0.001,0
40,2022-11-18 20:13:53,papers,6,dcrnn,0.0534212738275527,0.0935519710183143,200,0.001,0
8,2022-11-18 20:09:50,papers,2,dcrnn,0.0545675866305828,0.0901799723505973,200,0.001,0
32,2022-11-18 20:12:52,papers,5,dcrnn,0.0554034486413002,0.1055122911930084,200,0.001,0
48,2022-11-18 20:14:54,papers,7,dcrnn,0.0554443150758743,0.0955884233117103,200,0.001,0
38,2022-11-18 20:13:34,papers,5,a3tgcn,0.0561218224465847,0.1127236559987068,200,0.001,0
56,2022-11-18 20:15:50,papers,8,dcrnn,0.0561985820531845,0.0998879075050354,200,0.001,0
6,2022-11-18 20:09:33,patents,1,agcrn,0.0643367543816566,0.1980213373899459,200,0.001,0
45,2022-11-18 20:14:31,patents,6,agcrn,0.0646557509899139,0.1960736811161041,200,0.001,0
74,2022-11-18 20:19:34,patents,11,agcrn,0.0715867280960083,0.2057721018791198,200,0.001,0
37,2022-11-18 20:13:27,patents,5,agcrn,0.0783487856388092,0.2156160920858383,200,0.001,0
29,2022-11-18 20:12:26,patents,4,agcrn,0.0817862153053283,0.2221789211034774,200,0.001,0
14,2022-11-18 20:10:32,patents,2,agcrn,0.0824320614337921,0.2273798882961273,200,0.001,0
70,2022-11-18 20:18:30,patents,10,agcrn,0.0839445143938064,0.2285775691270828,200,0.001,0
54,2022-11-18 20:15:33,patents,7,agcrn,0.0945875197649002,0.2407824397087097,200,0.001,0
21,2022-11-18 20:11:27,patents,3,agcrn,0.0947827026247978,0.2370810359716415,200,0.001,0
66,2022-11-18 20:17:25,patents,9,agcrn,0.0978158637881279,0.2501214444637298,200,0.001,0
61,2022-11-18 20:16:25,patents,8,agcrn,0.0983134657144546,0.2402683198451995,200,0.001,0
57,2022-11-18 20:16:00,patents,8,dcrnn,0.1249973028898239,0.2789612412452698,200,0.001,0
59,2022-11-18 20:16:12,patents,8,tgcn,0.1563659012317657,0.3218287527561188,200,0.001,0
31,2022-11-18 20:12:39,patents,4,a3tgcn,0.1603505164384842,0.314754456281662,200,0.001,0
27,2022-11-18 20:12:11,patents,4,tgcn,0.1673287600278854,0.3247615396976471,200,0.001,0
25,2022-11-18 20:11:59,patents,4,dcrnn,0.1776093691587448,0.3349849879741668,200,0.001,0
19,2022-11-18 20:11:12,patents,3,tgcn,0.1792298257350921,0.3433679640293121,200,0.001,0
11,2022-11-18 20:10:15,patents,2,tgcn,0.1813616454601287,0.3513035476207733,200,0.001,0
4,2022-11-18 20:09:17,patents,1,tgcn,0.1815938204526901,0.3549749851226806,200,0.001,0
7,2022-11-18 20:09:46,patents,1,a3tgcn,0.1836337596178054,0.356331467628479,200,0.001,0
63,2022-11-18 20:16:37,patents,8,a3tgcn,0.1843300312757492,0.3516744673252105,200,0.001,0
17,2022-11-18 20:11:00,patents,3,dcrnn,0.184911623597145,0.3500663638114929,200,0.001,0
23,2022-11-18 20:11:40,patents,3,a3tgcn,0.1892146915197372,0.3534381091594696,200,0.001,0
15,2022-11-18 20:10:44,patents,2,a3tgcn,0.1892823725938797,0.3624443709850311,200,0.001,0
51,2022-11-18 20:15:17,patents,7,tgcn,0.1931070983409881,0.3537156283855438,200,0.001,0
69,2022-11-18 20:18:13,patents,10,tgcn,0.193376824259758,0.3712456226348877,200,0.001,0
10,2022-11-18 20:10:03,patents,2,dcrnn,0.1941539049148559,0.3729063868522644,200,0.001,0
71,2022-11-18 20:18:45,patents,10,a3tgcn,0.1943132877349853,0.370720624923706,200,0.001,0
49,2022-11-18 20:15:05,patents,7,dcrnn,0.1944963783025741,0.3560253083705902,200,0.001,0
55,2022-11-18 20:15:46,patents,7,a3tgcn,0.1962223052978515,0.358435720205307,200,0.001,0
72,2022-11-18 20:19:04,patents,11,dcrnn,0.197298526763916,0.3926215171813965,200,0.001,0
2,2022-11-18 20:09:04,patents,1,dcrnn,0.1990668922662735,0.3812456727027893,200,0.001,0
75,2022-11-18 20:19:49,patents,11,a3tgcn,0.20089858770370483,0.38744693994522095,200,0.001,0
73,2022-11-18 20:19:18,patents,11,tgcn,0.2015436589717865,0.387425810098648,200,0.001,0
68,2022-11-18 20:17:59,patents,10,dcrnn,0.2037943452596664,0.388098657131195,200,0.001,0
64,2022-11-18 20:16:55,patents,9,dcrnn,0.2054515779018402,0.3879258632659912,200,0.001,0
65,2022-11-18 20:17:09,patents,9,tgcn,0.2054527997970581,0.3868218660354614,200,0.001,0
67,2022-11-18 20:17:40,patents,9,a3tgcn,0.2080654203891754,0.3894292414188385,200,0.001,0
47,2022-11-18 20:14:48,patents,6,a3tgcn,0.2168975472450256,0.40335214138031,200,0.001,0
43,2022-11-18 20:14:14,patents,6,tgcn,0.2192735224962234,0.4058195352554321,200,0.001,0
39,2022-11-18 20:13:42,patents,5,a3tgcn,0.2233988642692566,0.4140999317169189,200,0.001,0
35,2022-11-18 20:13:11,patents,5,tgcn,0.2246689647436142,0.4168787002563476,200,0.001,0
41,2022-11-18 20:14:01,patents,6,dcrnn,0.2289932072162628,0.4199408590793609,200,0.001,0
33,2022-11-18 20:12:58,patents,5,dcrnn,0.2368557900190353,0.433124840259552,200,0.001,0
