Year_Month	whole_news	whole_papers	whole_patents	topic_keyword_news	topic_keyword_papers	topic_keyword_patents
2017_01	8094.0	9384.0	20.0	1679.0	1727.0	6.0
2017_02	7990.0	276.0	43.0	1636.0	45.0	14.0
2017_03	11310.0	482.0	10.0	2362.0	110.0	2.0
2017_04	10408.0	713.0	44.0	2219.0	151.0	13.0
2017_05	11984.0	1127.0	76.0	2928.0	249.0	38.0
2017_06	14304.0	1833.0	18.0	2991.0	343.0	9.0
2017_07	17908.0	4121.0	74.0	3903.0	860.0	32.0
2017_08	14531.0	1106.0	82.0	3355.0	193.0	43.0
2017_09	25262.0	2529.0	78.0	5541.0	459.0	23.0
2017_10	21661.0	2016.0	173.0	4748.0	425.0	48.0
2017_11	32501.0	2577.0	94.0	7109.0	527.0	31.0
2017_12	50280.0	3226.0	87.0	11074.0	602.0	32.0
2018_01	42326.0	36491.0	219.0	9120.0	6775.0	76.0
2018_02	68029.0	935.0	101.0	15212.0	178.0	39.0
2018_03	76759.0	2627.0	58.0	16274.0	505.0	25.0
2018_04	76359.0	1895.0	225.0	16524.0	351.0	92.0
2018_05	82519.0	3833.0	215.0	18026.0	778.0	93.0
2018_06	80016.0	4805.0	341.0	17407.0	985.0	133.0
2018_07	45661.0	23787.0	252.0	9878.0	4461.0	104.0
2018_08	35181.0	4154.0	290.0	7456.0	844.0	110.0
2018_09	38274.0	5866.0	294.0	7760.0	1177.0	123.0
2018_10	45210.0	7120.0	537.0	9328.0	1399.0	205.0
2018_11	41502.0	8426.0	526.0	8623.0	1671.0	216.0
2018_12	39388.0	8131.0	478.0	8332.0	1653.0	208.0
2019_01	44290.0	80361.0	547.0	8994.0	14913.0	211.0
2019_02	25833.0	2767.0	454.0	5699.0	582.0	177.0
2019_03	34723.0	9347.0	598.0	7389.0	1774.0	223.0
2019_04	26245.0	10540.0	1114.0	5897.0	2180.0	415.0
2019_05	32595.0	13519.0	789.0	7337.0	2700.0	295.0
2019_06	45962.0	13686.0	736.0	9936.0	2691.0	289.0
2019_07	40107.0	13740.0	1142.0	9016.0	2781.0	454.0
2019_08	28923.0	8627.0	863.0	6083.0	1724.0	363.0
2019_09	32127.0	10453.0	919.0	6659.0	2101.0	354.0
2019_10	43840.0	15613.0	1444.0	8994.0	3235.0	559.0
2019_11	31933.0	13620.0	1265.0	7134.0	2751.0	524.0
2019_12	30885.0	18768.0	1813.0	6811.0	3739.0	669.0
2020_01	29722.0	123575.0	1074.0	6133.0	23453.0	455.0
2020_02	19959.0	9217.0	1346.0	4286.0	1879.0	544.0
2020_03	13243.0	12165.0	2233.0	2795.0	2439.0	888.0
2020_04	8576.0	10216.0	1711.0	1930.0	1997.0	686.0
2020_05	10740.0	10781.0	1764.0	2412.0	2181.0	720.0
2020_06	12062.0	21907.0	3493.0	2683.0	4329.0	1434.0
2020_07	16667.0	13788.0	2434.0	3814.0	2823.0	933.0
2020_08	15687.0	13144.0	2501.0	3620.0	2631.0	971.0
2020_09	12486.0	21395.0	4073.0	3150.0	4223.0	1662.0
2020_10	15470.0	22485.0	3099.0	3340.0	4609.0	1243.0
2020_11	17242.0	22697.0	3021.0	3862.0	4552.0	1239.0
2020_12	17994.0	24609.0	3594.0	4011.0	4980.0	1379.0
2021_01	23441.0	204281.0	2899.0	5278.0	40423.0	1131.0
2021_02	28567.0	12494.0	3314.0	6239.0	2623.0	1296.0
2021_03	36964.0	18151.0	4419.0	8010.0	3553.0	1760.0
2021_04	46988.0	16470.0	3491.0	10426.0	3407.0	1412.0
2021_05	42491.0	19202.0	3193.0	9156.0	3835.0	1229.0
2021_06	47927.0	21768.0	4949.0	10479.0	4330.0	2030.0
2021_07	46397.0	18097.0	3853.0	9762.0	3680.0	1533.0
2021_08	46968.0	14452.0	5632.0	10541.0	3050.0	2326.0
2021_09	50063.0	18508.0	3699.0	10822.0	3657.0	1492.0
2021_10	54797.0	11824.0	4164.0	11648.0	2278.0	1671.0
2021_11	53934.0	13949.0	4676.0	11295.0	2719.0	1849.0
2021_12	69770.0	18525.0	4202.0	14530.0	3658.0	1688.0
2022_01	55966.0	319088.0	3533.0	11968.0	63140.0	1431.0
2022_02	52233.0	12104.0	5100.0	11397.0	2396.0	2030.0
2022_03	73352.0	15567.0	5715.0	15243.0	3065.0	2247.0
2022_04	50233.0	10846.0	4679.0	10725.0	2168.0	1856.0
2022_05	123277.0	12587.0	2465.0	26232.0	2575.0	914.0
2022_06	110767.0	19500.0	3017.0	24107.0	3836.0	1107.0
