,money,bitcoin,bank,transactions,cryptocurrencies,countries,banks,currency,payments,transaction,payment,currencies,digital-currency,computer,ledger,dollar,computers
word_count:2017_01,25,30,29,17,6,17,32,23,16,5,10,16,16,4,6,9,8
word_count:2017_02,20,17,26,23,0,19,28,9,19,11,12,6,7,8,7,2,4
word_count:2017_03,30,42,40,34,5,11,32,22,22,16,12,20,17,10,19,4,16
word_count:2017_04,41,34,33,22,14,17,44,22,20,19,12,11,9,13,12,7,2
word_count:2017_05,40,56,51,48,14,26,46,44,31,24,38,29,33,14,26,12,16
word_count:2017_06,40,52,43,24,18,35,42,29,25,14,15,24,18,13,21,12,13
word_count:2017_07,58,65,57,49,39,22,45,48,20,31,34,55,32,30,35,19,17
word_count:2017_08,66,59,41,54,20,16,33,43,28,31,25,40,45,13,28,10,3
word_count:2017_09,96,90,103,69,60,47,69,70,33,41,29,68,57,28,36,22,13
word_count:2017_10,74,84,70,65,52,49,53,45,35,33,30,49,39,31,42,22,21
word_count:2017_11,93,160,74,63,96,45,108,115,37,31,70,86,85,17,66,61,23
word_count:2017_12,200,304,138,165,195,65,161,173,50,91,102,116,128,48,70,49,52
word_count:2018_01,146,255,135,106,199,60,100,112,80,58,60,98,58,35,55,25,28
word_count:2018_02,253,352,210,206,288,118,160,170,110,114,114,183,105,70,70,65,54
word_count:2018_03,177,279,167,170,242,151,134,159,97,120,107,97,63,64,85,58,38
word_count:2018_04,164,217,160,161,159,135,110,123,91,84,86,87,61,41,80,38,26
word_count:2018_05,156,207,133,190,171,144,95,97,106,96,108,84,60,45,73,42,25
word_count:2018_06,136,161,143,165,155,137,109,83,105,100,93,87,49,65,64,36,37
word_count:2018_07,136,127,108,88,100,69,84,63,52,41,63,49,33,50,45,25,30
word_count:2018_08,88,79,73,68,66,44,77,43,34,46,39,42,30,32,29,26,20
word_count:2018_09,80,88,78,61,74,74,63,45,42,39,37,42,17,38,55,26,20
word_count:2018_10,101,91,101,75,94,89,73,57,49,44,49,45,24,40,27,20,48
word_count:2018_11,106,72,84,73,71,88,68,48,55,56,63,48,19,30,38,27,17
word_count:2018_12,110,90,99,44,62,73,63,31,47,43,43,30,19,33,21,31,17
word_count:2019_01,108,105,80,86,81,82,72,62,53,43,59,67,29,49,37,24,19
word_count:2019_02,68,48,63,52,57,44,54,44,31,28,25,27,15,23,28,28,16
word_count:2019_03,86,47,87,54,52,77,51,36,42,35,39,37,21,36,28,33,27
word_count:2019_04,54,39,49,47,40,65,42,16,28,25,25,19,9,29,31,11,11
word_count:2019_05,85,84,76,56,61,67,44,41,53,41,36,34,41,28,26,27,13
word_count:2019_06,183,161,158,131,161,94,111,158,130,78,85,125,99,26,28,79,20
word_count:2019_07,130,116,123,85,101,67,91,95,77,63,75,90,65,29,36,52,25
word_count:2019_08,71,53,57,53,35,46,41,36,28,30,32,42,26,16,26,23,12
word_count:2019_09,76,37,70,47,41,81,41,38,48,34,38,36,32,33,20,25,9
word_count:2019_10,108,68,99,80,57,83,56,81,72,34,65,54,47,47,30,34,22
word_count:2019_11,85,60,96,76,52,71,66,54,52,31,41,56,45,31,31,28,5
word_count:2019_12,57,46,79,49,37,61,58,37,53,46,37,34,37,35,29,25,10
word_count:2020_01,66,50,54,53,28,52,36,39,27,41,43,31,20,40,31,16,11
word_count:2020_02,30,35,34,32,25,46,20,21,24,27,18,15,12,24,19,12,8
word_count:2020_03,28,18,25,19,14,25,23,16,19,15,9,11,10,13,11,12,1
word_count:2020_04,14,8,20,15,1,16,13,9,4,15,8,6,2,12,8,5,1
word_count:2020_05,27,16,15,23,11,19,11,10,8,24,12,7,7,22,15,9,4
word_count:2020_06,23,8,16,17,10,13,12,14,14,28,19,4,5,17,7,3,0
word_count:2020_07,31,26,30,31,14,24,7,17,20,30,16,7,8,40,16,11,8
word_count:2020_08,40,24,38,33,17,28,32,29,32,33,22,14,20,30,22,11,13
word_count:2020_09,16,11,26,14,9,25,15,17,13,36,15,6,8,34,19,4,0
word_count:2020_10,18,24,29,37,13,32,27,19,20,24,25,19,17,21,22,12,4
word_count:2020_11,39,43,42,48,27,23,30,25,25,41,24,17,14,28,20,24,0
