	money	bitcoin	bank	transactions	cryptocurrencies	countries	banks	currency	payments	transaction	payment	currencies	digital-currency	computer	ledger	dollar	computers	place_holder_00	place_holder_01	place_holder_02
word_count:2017_01	25.0	30.0	29.0	17.0	6.0	17.0	32.0	23.0	16.0	5.0	10.0	16.0	16.0	4.0	6.0	9.0	8.0	0.0	0.0	0.0
word_count:2017_02	20.0	17.0	26.0	23.0	0.0	19.0	28.0	9.0	19.0	11.0	12.0	6.0	7.0	8.0	7.0	2.0	4.0	0.0	0.0	0.0
word_count:2017_03	30.0	42.0	40.0	34.0	5.0	11.0	32.0	22.0	22.0	16.0	12.0	20.0	17.0	10.0	19.0	4.0	16.0	0.0	0.0	0.0
word_count:2017_04	41.0	34.0	33.0	22.0	14.0	17.0	44.0	22.0	20.0	19.0	12.0	11.0	9.0	13.0	12.0	7.0	2.0	0.0	0.0	0.0
word_count:2017_05	40.0	56.0	51.0	48.0	14.0	26.0	46.0	44.0	31.0	24.0	38.0	29.0	33.0	14.0	26.0	12.0	16.0	0.0	0.0	0.0
word_count:2017_06	40.0	52.0	43.0	24.0	18.0	35.0	42.0	29.0	25.0	14.0	15.0	24.0	18.0	13.0	21.0	12.0	13.0	0.0	0.0	0.0
word_count:2017_07	58.0	65.0	57.0	49.0	39.0	22.0	45.0	48.0	20.0	31.0	34.0	55.0	32.0	30.0	35.0	19.0	17.0	0.0	0.0	0.0
word_count:2017_08	66.0	59.0	41.0	54.0	20.0	16.0	33.0	43.0	28.0	31.0	25.0	40.0	45.0	13.0	28.0	10.0	3.0	0.0	0.0	0.0
word_count:2017_09	96.0	90.0	103.0	69.0	60.0	47.0	69.0	70.0	33.0	41.0	29.0	68.0	57.0	28.0	36.0	22.0	13.0	0.0	0.0	0.0
word_count:2017_10	74.0	84.0	70.0	65.0	52.0	49.0	53.0	45.0	35.0	33.0	30.0	49.0	39.0	31.0	42.0	22.0	21.0	0.0	0.0	0.0
word_count:2017_11	93.0	160.0	74.0	63.0	96.0	45.0	108.0	115.0	37.0	31.0	70.0	86.0	85.0	17.0	66.0	61.0	23.0	0.0	0.0	0.0
word_count:2017_12	200.0	304.0	138.0	165.0	195.0	65.0	161.0	173.0	50.0	91.0	102.0	116.0	128.0	48.0	70.0	49.0	52.0	0.0	0.0	0.0
word_count:2018_01	146.0	255.0	135.0	106.0	199.0	60.0	100.0	112.0	80.0	58.0	60.0	98.0	58.0	35.0	55.0	25.0	28.0	0.0	0.0	0.0
word_count:2018_02	253.0	352.0	210.0	206.0	288.0	118.0	160.0	170.0	110.0	114.0	114.0	183.0	105.0	70.0	70.0	65.0	54.0	0.0	0.0	0.0
word_count:2018_03	177.0	279.0	167.0	170.0	242.0	151.0	134.0	159.0	97.0	120.0	107.0	97.0	63.0	64.0	85.0	58.0	38.0	0.0	0.0	0.0
word_count:2018_04	164.0	217.0	160.0	161.0	159.0	135.0	110.0	123.0	91.0	84.0	86.0	87.0	61.0	41.0	80.0	38.0	26.0	0.0	0.0	0.0
word_count:2018_05	156.0	207.0	133.0	190.0	171.0	144.0	95.0	97.0	106.0	96.0	108.0	84.0	60.0	45.0	73.0	42.0	25.0	0.0	0.0	0.0
word_count:2018_06	136.0	161.0	143.0	165.0	155.0	137.0	109.0	83.0	105.0	100.0	93.0	87.0	49.0	65.0	64.0	36.0	37.0	0.0	0.0	0.0
word_count:2018_07	136.0	127.0	108.0	88.0	100.0	69.0	84.0	63.0	52.0	41.0	63.0	49.0	33.0	50.0	45.0	25.0	30.0	0.0	0.0	0.0
word_count:2018_08	88.0	79.0	73.0	68.0	66.0	44.0	77.0	43.0	34.0	46.0	39.0	42.0	30.0	32.0	29.0	26.0	20.0	0.0	0.0	0.0
word_count:2018_09	80.0	88.0	78.0	61.0	74.0	74.0	63.0	45.0	42.0	39.0	37.0	42.0	17.0	38.0	55.0	26.0	20.0	0.0	0.0	0.0
word_count:2018_10	101.0	91.0	101.0	75.0	94.0	89.0	73.0	57.0	49.0	44.0	49.0	45.0	24.0	40.0	27.0	20.0	48.0	0.0	0.0	0.0
word_count:2018_11	106.0	72.0	84.0	73.0	71.0	88.0	68.0	48.0	55.0	56.0	63.0	48.0	19.0	30.0	38.0	27.0	17.0	0.0	0.0	0.0
word_count:2018_12	110.0	90.0	99.0	44.0	62.0	73.0	63.0	31.0	47.0	43.0	43.0	30.0	19.0	33.0	21.0	31.0	17.0	0.0	0.0	0.0
word_count:2019_01	108.0	105.0	80.0	86.0	81.0	82.0	72.0	62.0	53.0	43.0	59.0	67.0	29.0	49.0	37.0	24.0	19.0	0.0	0.0	0.0
word_count:2019_02	68.0	48.0	63.0	52.0	57.0	44.0	54.0	44.0	31.0	28.0	25.0	27.0	15.0	23.0	28.0	28.0	16.0	0.0	0.0	0.0
word_count:2019_03	86.0	47.0	87.0	54.0	52.0	77.0	51.0	36.0	42.0	35.0	39.0	37.0	21.0	36.0	28.0	33.0	27.0	0.0	0.0	0.0
word_count:2019_04	54.0	39.0	49.0	47.0	40.0	65.0	42.0	16.0	28.0	25.0	25.0	19.0	9.0	29.0	31.0	11.0	11.0	0.0	0.0	0.0
word_count:2019_05	85.0	84.0	76.0	56.0	61.0	67.0	44.0	41.0	53.0	41.0	36.0	34.0	41.0	28.0	26.0	27.0	13.0	0.0	0.0	0.0
word_count:2019_06	183.0	161.0	158.0	131.0	161.0	94.0	111.0	158.0	130.0	78.0	85.0	125.0	99.0	26.0	28.0	79.0	20.0	0.0	0.0	0.0
word_count:2019_07	130.0	116.0	123.0	85.0	101.0	67.0	91.0	95.0	77.0	63.0	75.0	90.0	65.0	29.0	36.0	52.0	25.0	0.0	0.0	0.0
word_count:2019_08	71.0	53.0	57.0	53.0	35.0	46.0	41.0	36.0	28.0	30.0	32.0	42.0	26.0	16.0	26.0	23.0	12.0	0.0	0.0	0.0
word_count:2019_09	76.0	37.0	70.0	47.0	41.0	81.0	41.0	38.0	48.0	34.0	38.0	36.0	32.0	33.0	20.0	25.0	9.0	0.0	0.0	0.0
word_count:2019_10	108.0	68.0	99.0	80.0	57.0	83.0	56.0	81.0	72.0	34.0	65.0	54.0	47.0	47.0	30.0	34.0	22.0	0.0	0.0	0.0
word_count:2019_11	85.0	60.0	96.0	76.0	52.0	71.0	66.0	54.0	52.0	31.0	41.0	56.0	45.0	31.0	31.0	28.0	5.0	0.0	0.0	0.0
word_count:2019_12	57.0	46.0	79.0	49.0	37.0	61.0	58.0	37.0	53.0	46.0	37.0	34.0	37.0	35.0	29.0	25.0	10.0	0.0	0.0	0.0
word_count:2020_01	66.0	50.0	54.0	53.0	28.0	52.0	36.0	39.0	27.0	41.0	43.0	31.0	20.0	40.0	31.0	16.0	11.0	0.0	0.0	0.0
