month,transactions,transaction,article,bitcoin,market,cryptocurrency,cryptocurrencies,economy,money,currency
word_count:2017_01,59,48,16,76,22,31,23,12,11,17
word_count:2017_02,3,1,2,4,2,0,2,1,2,2
word_count:2017_03,1,2,0,6,2,2,1,0,2,2
word_count:2017_04,5,3,0,7,1,1,2,4,2,1
word_count:2017_05,9,5,2,9,1,5,2,1,2,3
word_count:2017_06,12,7,2,15,2,5,6,2,7,1
word_count:2017_07,26,25,5,28,18,14,5,3,4,14
word_count:2017_08,8,4,1,9,3,2,1,2,0,3
word_count:2017_09,9,12,6,15,5,4,5,3,3,3
word_count:2017_10,20,16,4,18,4,3,4,3,6,5
word_count:2017_11,19,13,8,18,9,4,7,3,5,6
word_count:2017_12,19,22,12,17,5,5,7,6,2,3
word_count:2018_01,185,156,53,188,94,100,91,70,47,41
word_count:2018_02,3,3,2,3,4,2,0,0,0,0
word_count:2018_03,19,13,12,18,6,13,11,2,5,4
word_count:2018_04,10,8,7,19,5,11,6,5,6,5
word_count:2018_05,24,22,7,24,6,20,8,4,5,3
word_count:2018_06,25,24,5,25,16,14,15,7,3,3
word_count:2018_07,123,91,32,99,44,54,42,20,16,22
word_count:2018_08,20,13,5,21,8,9,6,6,4,4
word_count:2018_09,47,27,11,26,18,14,17,7,3,5
word_count:2018_10,44,34,9,43,18,24,14,8,3,7
word_count:2018_11,54,44,15,38,18,24,23,11,9,6
word_count:2018_12,39,35,20,35,29,25,15,9,8,10
word_count:2019_01,390,305,174,291,193,203,178,142,69,61
word_count:2019_02,22,14,8,10,9,12,6,8,3,5
word_count:2019_03,67,47,16,38,20,29,25,15,17,11
word_count:2019_04,55,64,14,43,29,34,16,16,10,9
word_count:2019_05,91,70,27,55,24,37,25,14,11,12
word_count:2019_06,78,63,24,54,36,38,27,18,8,7
word_count:2019_07,79,68,24,55,33,36,21,11,9,9
word_count:2019_08,53,36,11,23,28,27,9,7,8,10
word_count:2019_09,54,46,29,32,37,33,15,18,9,5
word_count:2019_10,97,71,20,69,46,43,26,16,21,17
word_count:2019_11,85,72,24,38,29,31,22,16,18,8
word_count:2019_12,92,77,34,52,39,36,22,24,14,13
word_count:2020_01,533,445,257,334,268,272,205,169,95,68
word_count:2020_02,40,40,24,25,29,26,12,10,7,7
word_count:2020_03,66,49,54,41,33,36,22,13,12,8
word_count:2020_04,55,44,34,33,30,20,18,15,2,5
word_count:2020_05,58,63,34,31,29,15,22,13,8,3
word_count:2020_06,119,86,53,49,48,38,30,24,16,9
word_count:2020_07,62,61,44,36,30,15,14,13,12,5
word_count:2020_08,63,53,28,17,41,23,17,24,9,3
word_count:2020_09,109,76,78,44,52,45,43,29,8,10
word_count:2020_10,99,79,50,57,52,34,31,17,12,4
word_count:2020_11,93,93,81,57,42,36,29,16,8,8
word_count:2020_12,100,101,43,48,54,47,33,24,9,11
word_count:2021_01,841,724,477,414,399,315,246,234,116,84
word_count:2021_02,51,50,58,18,33,21,14,12,2,3
word_count:2021_03,81,75,73,37,38,31,14,26,16,9
word_count:2021_04,78,66,57,29,29,21,20,18,6,4
word_count:2021_05,103,72,58,43,40,39,32,19,8,6
word_count:2021_06,107,88,67,35,56,22,30,38,14,4
word_count:2021_07,81,79,52,42,20,32,26,16,6,5
word_count:2021_08,60,49,43,16,29,10,13,17,5,4
word_count:2021_09,79,76,56,42,33,40,30,19,11,8
word_count:2021_10,52,39,39,26,19,17,11,20,9,9
word_count:2021_11,51,44,39,24,45,19,17,9,10,3
word_count:2021_12,76,57,56,28,39,26,21,32,4,4
word_count:2022_01,1263,1107,672,584,641,501,358,363,184,123
word_count:2022_02,31,36,34,14,31,17,11,13,6,6
word_count:2022_03,74,60,53,40,38,35,25,18,7,5
word_count:2022_04,34,41,35,15,31,12,5,18,2,3
word_count:2022_05,56,50,37,16,36,14,7,10,2,5
word_count:2022_06,76,59,70,27,42,36,19,35,8,9
word_count:2022_07,56,47,58,30,40,27,24,17,3,5
word_count:2022_08,65,57,43,27,28,31,16,17,3,7
word_count:2022_09,61,64,67,21,49,21,18,23,10,5
word_count:2022_10,65,62,45,27,27,24,18,12,11,0
word_count:2022_11,94,72,77,43,49,29,31,17,8,4
word_count:2022_12,103,101,89,41,63,39,39,38,15,9
word_count:2023_01,1364,1041,789,481,644,510,368,336,228,113
word_count:2023_02,57,65,47,24,38,19,10,10,2,2
word_count:2023_03,74,61,65,34,47,30,21,22,11,3
word_count:2023_04,53,44,53,16,32,20,14,25,6,4
word_count:2023_05,69,52,56,22,38,32,29,28,10,11
word_count:2023_06,77,70,48,27,37,23,24,33,4,7
word_count:2023_07,78,62,70,23,35,29,20,20,10,5
word_count:2023_08,71,44,74,17,26,18,24,23,10,8
word_count:2023_09,104,87,74,32,43,26,16,19,11,9
word_count:2023_10,78,59,48,29,35,36,15,20,14,4
word_count:2023_11,79,52,63,26,39,32,21,21,12,3
word_count:2023_12,94,74,97,29,49,26,19,28,9,6
