	transactions	transaction	article	bitcoin	market	cryptocurrency	cryptocurrencies	economy	money	currency	place_holder_00	place_holder_01	place_holder_02	place_holder_03	place_holder_04	place_holder_05	place_holder_06	place_holder_07	place_holder_08	place_holder_09
word_count:2017_01	59.0	48.0	16.0	76.0	22.0	31.0	23.0	12.0	11.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_02	3.0	1.0	2.0	4.0	2.0	0.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_03	1.0	2.0	0.0	6.0	2.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_04	5.0	3.0	0.0	7.0	1.0	1.0	2.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_05	9.0	5.0	2.0	9.0	1.0	5.0	2.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_06	12.0	7.0	2.0	15.0	2.0	5.0	6.0	2.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_07	26.0	25.0	5.0	28.0	18.0	14.0	5.0	3.0	4.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_08	8.0	4.0	1.0	9.0	3.0	2.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_09	9.0	12.0	6.0	15.0	5.0	4.0	5.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_10	20.0	16.0	4.0	18.0	4.0	3.0	4.0	3.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_11	19.0	13.0	8.0	18.0	9.0	4.0	7.0	3.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2017_12	19.0	22.0	12.0	17.0	5.0	5.0	7.0	6.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_01	185.0	156.0	53.0	188.0	94.0	100.0	91.0	70.0	47.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_02	3.0	3.0	2.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_03	19.0	13.0	12.0	18.0	6.0	13.0	11.0	2.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_04	10.0	8.0	7.0	19.0	5.0	11.0	6.0	5.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_05	24.0	22.0	7.0	24.0	6.0	20.0	8.0	4.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_06	25.0	24.0	5.0	25.0	16.0	14.0	15.0	7.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_07	123.0	91.0	32.0	99.0	44.0	54.0	42.0	20.0	16.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_08	20.0	13.0	5.0	21.0	8.0	9.0	6.0	6.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_09	47.0	27.0	11.0	26.0	18.0	14.0	17.0	7.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_10	44.0	34.0	9.0	43.0	18.0	24.0	14.0	8.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_11	54.0	44.0	15.0	38.0	18.0	24.0	23.0	11.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2018_12	39.0	35.0	20.0	35.0	29.0	25.0	15.0	9.0	8.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2019_01	390.0	305.0	174.0	291.0	193.0	203.0	178.0	142.0	69.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
