month,request,transaction,transactions,account,payment,transfer,exchange,amount,cryptocurrency,currency
word_count:2017_01,0,0,0,0,0,0,0,0,0,0
word_count:2017_02,0,0,1,0,0,0,0,0,1,0
word_count:2017_03,0,0,0,0,0,0,0,0,0,0
word_count:2017_04,0,0,0,0,0,0,0,0,0,0
word_count:2017_05,0,1,0,0,0,0,0,0,0,0
word_count:2017_06,0,0,0,0,0,0,0,0,0,0
word_count:2017_07,0,1,1,0,0,0,1,1,0,0
word_count:2017_08,0,1,2,0,1,0,0,1,0,1
word_count:2017_09,1,0,0,0,1,0,0,0,0,0
word_count:2017_10,1,2,2,0,0,0,0,0,0,0
word_count:2017_11,2,3,3,0,2,0,0,0,1,0
word_count:2017_12,1,2,2,0,0,0,0,0,0,0
word_count:2018_01,1,4,4,1,0,0,1,1,0,0
word_count:2018_02,2,0,0,0,0,1,2,0,0,0
word_count:2018_03,2,0,0,0,2,0,0,0,0,0
word_count:2018_04,4,1,2,1,1,2,0,0,0,0
word_count:2018_05,2,2,0,0,0,0,2,1,0,0
word_count:2018_06,3,2,2,0,1,0,1,1,0,0
word_count:2018_07,3,6,2,2,1,2,0,1,0,1
word_count:2018_08,3,2,3,0,1,1,1,1,1,1
word_count:2018_09,6,4,3,2,1,0,0,0,0,0
word_count:2018_10,9,7,4,1,3,4,2,2,2,1
word_count:2018_11,5,4,3,2,1,2,0,0,0,0
word_count:2018_12,6,4,1,3,2,1,1,2,1,0
word_count:2019_01,6,6,2,1,1,1,1,0,0,0
word_count:2019_02,0,5,2,2,2,0,1,0,2,0
word_count:2019_03,7,6,1,0,0,1,2,0,1,2
word_count:2019_04,11,10,10,0,2,1,4,2,0,0
word_count:2019_05,6,10,9,0,2,4,2,2,0,0
word_count:2019_06,3,9,4,1,1,4,1,1,0,0
word_count:2019_07,13,13,10,2,4,6,3,1,2,1
word_count:2019_08,7,13,13,1,1,3,1,2,1,0
word_count:2019_09,9,11,11,4,2,2,3,3,1,1
word_count:2019_10,20,13,8,2,3,3,3,1,0,1
word_count:2019_11,18,14,7,1,2,0,2,1,0,1
word_count:2019_12,21,18,10,5,4,9,3,6,3,5
word_count:2020_01,12,19,7,4,4,5,2,3,2,1
word_count:2020_02,15,16,15,3,0,6,4,0,1,2
word_count:2020_03,33,30,15,4,6,6,5,5,2,1
word_count:2020_04,19,27,14,7,5,6,3,8,4,4
word_count:2020_05,30,28,16,6,6,8,4,2,1,1
word_count:2020_06,55,36,17,10,6,7,5,11,3,0
word_count:2020_07,30,30,8,8,6,7,3,7,0,1
word_count:2020_08,29,38,18,10,1,4,6,6,0,1
word_count:2020_09,54,49,15,19,7,10,7,14,7,4
word_count:2020_10,42,26,18,8,9,5,2,8,3,3
word_count:2020_11,38,39,23,10,9,9,4,3,1,1
word_count:2020_12,60,31,17,9,7,4,15,6,4,5
word_count:2021_01,44,28,20,7,4,4,5,4,3,3
word_count:2021_02,49,39,17,9,5,5,9,6,2,4
word_count:2021_03,57,45,20,10,5,13,8,10,2,2
word_count:2021_04,57,31,22,11,11,8,12,5,4,3
word_count:2021_05,32,38,19,8,7,5,9,5,1,1
word_count:2021_06,74,67,31,21,11,9,12,18,3,4
word_count:2021_07,51,39,24,17,14,7,8,12,5,5
word_count:2021_08,91,72,32,20,17,11,13,13,3,5
word_count:2021_09,58,38,16,14,5,6,6,8,3,1
word_count:2021_10,47,53,27,14,6,10,10,12,5,6
word_count:2021_11,66,60,37,23,14,12,19,12,10,11
word_count:2021_12,63,55,22,12,11,8,10,6,4,1
word_count:2022_01,51,35,21,20,9,14,9,6,1,4
word_count:2022_02,74,66,33,26,23,12,7,16,8,4
word_count:2022_03,68,60,33,23,20,9,6,16,6,3
word_count:2022_04,57,57,18,16,8,20,5,15,4,1
word_count:2022_05,33,31,16,10,8,11,5,4,5,1
word_count:2022_06,27,28,15,9,8,4,5,10,7,3
word_count:2022_07,0,0,0,0,0,0,0,0,0,0
word_count:2022_08,16,16,8,5,2,4,3,3,2,1
word_count:2022_09,51,79,42,16,10,19,15,13,18,8
word_count:2022_10,0,0,0,0,0,0,0,0,0,0
word_count:2022_11,20,33,13,14,6,2,13,4,7,4
word_count:2022_12,20,12,11,3,6,8,6,5,1,2
word_count:2023_01,36,21,20,9,9,4,12,2,7,6
word_count:2023_02,26,16,19,5,8,5,6,7,8,1
word_count:2023_03,44,50,25,8,18,5,5,8,5,5
word_count:2023_04,39,51,22,7,7,6,5,3,8,1
word_count:2023_05,17,34,16,6,4,12,3,5,16,2
word_count:2023_06,36,37,31,6,12,11,10,2,12,1
word_count:2023_07,33,23,15,3,6,5,3,5,3,3
word_count:2023_08,31,31,15,7,12,13,6,4,2,2
word_count:2023_09,39,31,16,10,11,12,4,4,8,3
word_count:2023_10,51,24,22,8,5,11,9,5,8,1
word_count:2023_11,46,30,22,11,14,11,10,3,10,4
word_count:2023_12,39,31,17,9,10,11,8,6,11,5
