topic_num,keywords
1,literature review applications industry intelligence adoption findings application studies impact cryptocurrency literature article bitcoin market review cryptocurrencies applications innovation findings
2,scheme privacy encryption storage secure access authentication protection performance schemes scheme privacy performance storage communication secure efficiency devices networks access
3,supply industry traceability application transparency adoption quality production literature implementation supply traceability application industry transparency quality production food efficiency platform
4,iot internet-of-things applications healthcare privacy health devices solutions intelligence industry iot internet-of-things devices networks communication privacy applications architecture performance secure
5,consensus transactions transaction protocol block bitcoin nodes performance blockchains scalability consensus nodes transactions transaction performance block protocol blockchains bitcoin scalability
6,energy power trading market grid electricity transaction demand consumption cost energy power trading market grid electricity demand transaction resources consumption
7,smart-contracts ethereum transactions solution platform implementation transaction framework smart-contract access smart-contracts ethereum transactions solution implementation platform applications trust application framework
8,health healthcare records privacy patients patient access record care secure
9,learning detection topics papers machine proceedings conference networks algorithm prediction learning detection topics papers proceedings machine conference algorithm prediction networks
10,cryptocurrency bitcoin market cryptocurrencies transactions money transaction article currency economy
