topic_num,keywords
1,"adoption, application, applications, article, bitcoin, cryptocurrencies, cryptocurrency, findings, impact, industry, innovation, intelligence, literature, market, review, studies"
2,"access, authentication, communication, devices, efficiency, encryption, networks, performance, privacy, protection, scheme, schemes, secure, storage"
3,"adoption, application, efficiency, food, implementation, industry, literature, platform, production, quality, supply, traceability, transparency"
4,"applications, architecture, communication, devices, health, healthcare, industry, intelligence, internet-of-things, iot, networks, performance, privacy, secure, solutions"
5,"bitcoin, block, blockchains, consensus, nodes, performance, protocol, scalability, transaction, transactions"
6,"consumption, cost, demand, electricity, energy, grid, market, power, resources, trading, transaction"
7,"access, application, applications, ethereum, framework, implementation, platform, smart-contract, smart-contracts, solution, transaction, transactions, trust"
8,"access, care, health, healthcare, patient, patients, privacy, record, records, secure"
9,"algorithm, conference, detection, learning, machine, networks, papers, prediction, proceedings, topics"
10,"article, bitcoin, cryptocurrencies, cryptocurrency, currency, economy, market, money, transaction, transactions"
