topic_num,keywords
1,content processor interface display communication output video presentation stream media code application content display response interface file media server image image display content interface object images input video output processor
2,embodiments security devices management platform invention environment actions score privacy machine embodiments score risk level learning management models intelligence techniques
3,platform application environment resource service software management disclosure resources embodiments platform application herein invention services embodiments consumers media community providers
4,vehicle location operation event response control sensor vehicles devices communication vehicle location vehicles event delivery devices item events computer items
5,key encryption signature public-key private-key transaction hash keys secure pair key node transaction signature nodes encryption block hash public-key private-key
6,ledger block transaction transactions blocks nodes record access database operation transaction ledger operation node nodes block transactions request blocks consensus
7,processor memory communication application devices instructions software computer interface resource processor memory instructions communication interface program computer module unit embodiment
8,ledger embodiments computer database transaction management record access records transactions
9,medium computer field image target intelligence disclosure program learning machine medium image field computer target disclosure intelligence feature learning detection
10,platform game item asset ownership non-fungible-tokens implementations nfts gaming nft
11,power communication energy unit devices signal wireless control source management communication power control vehicle energy operation signal wireless unit signals
12,power surface invention sensor body devices housing material patient health
13,transaction payment transactions account amount cryptocurrency transfer request exchange currency transaction payment transactions account amount exchange cryptocurrency request transfer currency
14,computer request node media response programs transaction target herein specification request response computer node media transaction programs result target service
15,communication devices node nodes communications networks message channel server transmission
16,operation location reality environment object sensor objects position event display
17,platform asset management disclosure ownership game embodiments assets ledger content
18,block blocks hash node nodes structure values tree consensus header
19,request identity access authentication server verification response service identifier management request authentication access identity server response service identifier verification token
