topic number,perplexity,coherence,metric
2,6907.0455670602005,0.46289703752845524,c_v
4,7153.749749368331,0.5506918239872902,c_v
6,7475.8189353915195,0.5060280933976173,c_v
8,7975.006456013469,0.5118834958178923,c_v
10,7969.93716353493,0.5510173388477415,c_v
12,7988.005020205995,0.5300761075923219,c_v
14,8094.099566164119,0.5276338855702696,c_v
16,8056.6082528276365,0.5065531972795725,c_v
18,8119.19288057934,0.5381674680858851,c_v
20,8064.27105280268,0.5406651880708524,c_v
22,8072.377193747807,0.5334658689796925,c_v
24,8057.50706788433,0.523397417145073,c_v
26,8103.001062946419,0.5700573613025391,c_v
28,8127.488161322355,0.6061892679094204,c_v
30,8103.304020441306,0.5422077638023378,c_v
32,8185.801672358349,0.5989907540613785,c_v
34,8141.752891245668,0.6110802786315187,c_v
36,8159.902767362607,0.6036371747018872,c_v
38,8218.592566259094,0.5889118041843175,c_v
40,8284.277145260663,0.5284199743004866,c_v
42,8229.093432913007,0.5765622578006947,c_v
44,8344.014723743954,0.5343782741793389,c_v
46,8232.193456918723,0.5923962267844572,c_v
48,8273.798219892771,0.590687012607426,c_v
50,8357.523659297476,0.5992813720796258,c_v
