topic number,perplexity,coherence,metric
2,6974.846525351045,0.44279711227864027,c_v
4,7205.495729827457,0.5476000011898577,c_v
6,7631.077744037671,0.5455897786964973,c_v
8,7997.162155459001,0.49773147372761745,c_v
10,8084.0422581558905,0.5190658972598613,c_v
12,8014.315893358596,0.48420399410339704,c_v
14,7935.312878097871,0.5149964288675359,c_v
16,8021.7076361289455,0.5360880372558312,c_v
18,8223.056827833978,0.5395062208382619,c_v
20,8093.847231978662,0.6099111755006016,c_v
22,8062.187291007966,0.6199399439057081,c_v
24,8075.479413066318,0.5372962690928641,c_v
26,7940.218944156157,0.619942796488221,c_v
28,8086.511851310025,0.6117225502351565,c_v
30,8007.765562395322,0.5815941480500623,c_v
32,7991.073528958211,0.5843685808824375,c_v
34,8078.9878811606595,0.6104856447864543,c_v
36,7943.8008312163865,0.6302029289977829,c_v
38,7942.42266772595,0.6073240667569304,c_v
40,8031.18065070246,0.600266200490296,c_v
42,8037.392041541982,0.5941220942263801,c_v
44,8033.944864186577,0.6120371257970956,c_v
46,7849.383098669425,0.5958386300091187,c_v
48,7853.8830458167295,0.6091992920186992,c_v
50,7811.158316779613,0.6308603026568889,c_v
