topic number,perplexity,coherence,metric
2,5787.80013642283,0.5682529382407665,c_v
4,5616.6953636647895,0.5674367491155863,c_v
6,5682.669883268317,0.5964679919183254,c_v
8,5700.608698248078,0.570193007402122,c_v
10,5603.042794326708,0.6321367132663727,c_v
12,5501.252214005657,0.6669486369937658,c_v
14,5527.788482084881,0.6799335188099317,c_v
16,5446.503068862985,0.6925507435575127,c_v
18,5408.924426225581,0.6756247695949343,c_v
20,5344.4448187437665,0.7508693182468416,c_v
22,5288.118992784182,0.6856933073564009,c_v
24,5330.354036580867,0.7457480717450382,c_v
26,5165.748682398838,0.7402516485979922,c_v
28,5116.581349729077,0.7422174677252771,c_v
30,5203.254596783968,0.6849791387468578,c_v
32,5091.997216433574,0.7367849880363792,c_v
34,5055.99109768282,0.7351144812562884,c_v
36,5030.114035154544,0.7363948783526816,c_v
38,4967.922948741095,0.7362045106134917,c_v
40,4966.919698526982,0.734233846180141,c_v
42,4962.404208837789,0.7231218917029246,c_v
44,4917.166057523422,0.7259887224486608,c_v
46,4898.765857581336,0.7198555976800298,c_v
48,4891.8752878903015,0.7206662431359291,c_v
50,4881.864184314736,0.7256998663246634,c_v
