topic number,perplexity,coherence,metric
2,5719.146146387214,0.5589874029159546,c_v
4,5688.643506143619,0.5687044352293014,c_v
6,5585.85445090627,0.5856172025203704,c_v
8,5677.5935994741285,0.5654103304259479,c_v
10,5696.9583601659815,0.628104641288519,c_v
12,5531.056832944861,0.6846849409242471,c_v
14,5456.811039840633,0.696085326373577,c_v
16,5441.466709370533,0.6794638480059804,c_v
18,5405.8662949357085,0.6805063241057926,c_v
20,5406.819104433153,0.6642962384596466,c_v
22,5283.366444063418,0.6761768065223639,c_v
24,5215.78007441585,0.6867488866051037,c_v
26,5209.033864974862,0.6983170776986157,c_v
28,5123.404601047662,0.7341792758554219,c_v
30,5113.870386798914,0.6914071564376353,c_v
32,5124.101711796402,0.7337836978957055,c_v
34,4965.069948579493,0.7339512717636193,c_v
36,4972.032187112398,0.7446401381658182,c_v
38,4952.49269591936,0.7341802689589951,c_v
40,4869.3667037001715,0.7393817903846501,c_v
42,4848.367734674435,0.723787363157386,c_v
44,4784.861191281501,0.7271353008733554,c_v
46,4822.619636144219,0.6717403226410567,c_v
48,4728.367780535371,0.7162764124882718,c_v
50,4692.906860894708,0.7277623137235644,c_v
