topic number,perplexity,coherence,metric
2,2717.0796975869434,0.4612811990082264,c_v
4,3053.9649838717337,0.6299421966075897,c_v
6,3162.5916762649535,0.637892044087251,c_v
8,3321.0847789355457,0.6688627317547798,c_v
10,3384.2366830457017,0.6679615348577499,c_v
12,3408.1593777970684,0.6745664397875468,c_v
14,3454.9756803645646,0.6812513292900153,c_v
16,3492.274019229176,0.6857853458262981,c_v
18,3464.8398057910645,0.6845190809211797,c_v
20,3475.709315199859,0.6719667115155608,c_v
22,3462.0239693760445,0.6928658805448901,c_v
24,3447.940251985493,0.6679127839083474,c_v
26,3478.955681182297,0.6822046925313772,c_v
28,3522.5896293427436,0.6806284958629736,c_v
30,3504.696990447092,0.6712226396116118,c_v
32,3528.090486448709,0.6813628128846175,c_v
34,3515.45511447625,0.6722820876823629,c_v
36,3532.4106428136106,0.6779249124021993,c_v
38,3522.0191516772807,0.667976945354358,c_v
40,3543.1218092757467,0.6662211393634789,c_v
42,3542.5845622037773,0.6827712942713072,c_v
44,3578.572415483192,0.6705697251134551,c_v
46,3515.2474244479795,0.6939697301501164,c_v
48,3553.3566006234287,0.6779235581712176,c_v
50,3569.129157676811,0.6691295641958714,c_v
