topic number,perplexity,coherence,metric
2,2161.0513464886762,0.3880226850509644,c_v
4,2213.601472363223,0.6128101993352175,c_v
6,2207.4767530653853,0.6321929730474949,c_v
8,2185.949297090566,0.683175636921078,c_v
10,2171.8984075882518,0.6751703433692456,c_v
12,2138.675029935538,0.6991889397303263,c_v
14,2104.655938283289,0.6887160708861694,c_v
16,2123.506334930687,0.6554633302148432,c_v
18,2045.7836870996862,0.6568448971543046,c_v
20,2042.3246660583861,0.6597953139990568,c_v
22,2070.9120275855175,0.6467918636107985,c_v
24,2023.1008934960048,0.6466231435847778,c_v
26,2000.1778987656203,0.6382368377768076,c_v
28,1983.4636782958382,0.6321628890665513,c_v
30,1972.6804510675402,0.6268112685531376,c_v
32,1962.4676471664789,0.6227674182388,c_v
34,1932.5056696749434,0.6141008600154343,c_v
36,1904.3119137402189,0.6227437536335655,c_v
38,1902.7946533098527,0.6263739169820358,c_v
40,1889.1864210139445,0.6111165677011012,c_v
42,1883.5039549442542,0.6243618333623523,c_v
44,1880.9834337902207,0.6124313841489228,c_v
46,1873.8289943824777,0.6079868954160937,c_v
48,1849.4951539625308,0.6506596973165871,c_v
50,1833.3637107255784,0.6306501551866532,c_v
52,1856.3402126396384,0.6341262512911968,c_v
54,1829.8165750457679,0.6371219978909249,c_v
56,1829.1094146780488,0.6232840834185482,c_v
58,1813.5684498834619,0.6362138781311184,c_v
60,1797.4331628238117,0.6411734907329084,c_v
62,1811.2198325297472,0.6305721545051183,c_v
64,1812.980264008719,0.6317609166377225,c_v
66,1800.2328463615988,0.6263810558301031,c_v
68,1790.4222889033433,0.6040552538221697,c_v
70,1796.5919716867718,0.6174881518286253,c_v
72,1794.2650757258518,0.6253311341835395,c_v
74,1783.4861658227264,0.6231221234878977,c_v
76,1795.5147096490107,0.6036468247932039,c_v
78,1774.656430976892,0.6212847815348933,c_v
80,1764.4577419707284,0.6215876688901336,c_v
82,1772.612024925602,0.6098676044221332,c_v
84,1769.8347204116387,0.6224217512179168,c_v
86,1758.0636303511956,0.6172043858009367,c_v
88,1760.3088549123067,0.628776849332181,c_v
90,1770.1891050350246,0.6183777412896354,c_v
92,1764.186829282213,0.614967410834304,c_v
94,1766.6405246711458,0.6169740910304989,c_v
96,1746.013979748694,0.614053564557495,c_v
98,1752.90258228433,0.6209463837119389,c_v
100,1746.8870946484665,0.6160934499539434,c_v
