topic number,perplexity,coherence,metric
2,1443.6385257038617,0.4010942243039608,c_v
4,1586.731750620699,0.5155214998871088,c_v
6,1626.7617008324082,0.532467021048069,c_v
8,1684.583230825042,0.5585134847089649,c_v
10,1753.0685001615784,0.5441150160133839,c_v
12,1772.715272022837,0.5702480595558882,c_v
14,1767.8906230503537,0.5535891952791384,c_v
16,1753.1615176582122,0.5496797360479831,c_v
18,1783.112305237422,0.5717130875835816,c_v
20,1803.9333597426762,0.5439731420855969,c_v
22,1798.541396573286,0.5537680846723644,c_v
24,1812.406410659509,0.5509271188018222,c_v
26,1807.8533564438158,0.5289591379463672,c_v
28,1822.8526173946855,0.5467216613868783,c_v
30,1826.9317081477514,0.5327314218164733,c_v
32,1841.559241716533,0.5518085224321112,c_v
34,1862.893617388651,0.5558609469848521,c_v
36,1884.5935064237417,0.5683835566457773,c_v
38,1870.54255515194,0.5686273924320152,c_v
40,1875.1002202767554,0.5453305692388674,c_v
42,1890.6399494080545,0.5555418383307933,c_v
44,1892.0222036407583,0.5532540314576843,c_v
46,1908.7475597280995,0.5414568475204641,c_v
48,1934.1611628108049,0.5498260287791104,c_v
50,1935.495189426081,0.5625040140450003,c_v
