topic number,perplexity,coherence,metric
2,1115.56354163092,0.3614343661814928,c_v
4,1060.7955525306088,0.4699071191251278,c_v
6,974.05119592394,0.5179855328053236,c_v
8,921.4379400493734,0.5225699974223972,c_v
10,869.3264174012775,0.5554645344614982,c_v
12,814.9329677814497,0.5641025092452765,c_v
14,804.0451591429604,0.537849097698927,c_v
16,769.6313170442575,0.5548892642371357,c_v
18,748.6871467886353,0.5305268617139922,c_v
20,728.4862106363761,0.5684095003223046,c_v
22,691.9740727080587,0.5744563981552016,c_v
24,686.4299178505536,0.5808266726632912,c_v
26,665.8836296998226,0.5807785998743314,c_v
28,655.8860158050774,0.5885890392320496,c_v
30,640.3635454724852,0.5845264208565156,c_v
32,619.6069248694868,0.6060162702808155,c_v
34,606.4229387757401,0.615316781620769,c_v
36,596.6355917448487,0.6319241015033589,c_v
38,595.2846544449984,0.6207273803651332,c_v
40,590.2192837858854,0.6276027461886408,c_v
42,569.924550775489,0.6481951424763316,c_v
44,566.4960609612865,0.6363197567449373,c_v
46,556.4659746166373,0.650968360868485,c_v
48,549.0876405159768,0.6574054987790682,c_v
50,539.3763256049849,0.6654684731960298,c_v
52,535.7522818017471,0.657991091104654,c_v
54,525.3570122392874,0.6674395168269122,c_v
56,518.1909516872392,0.6693257847800851,c_v
58,515.8378644445348,0.6698275832266646,c_v
60,509.78751688611425,0.6927198160191373,c_v
62,501.81491344356937,0.6881772175911934,c_v
64,501.48695606337066,0.6801899933256211,c_v
66,494.18290547188434,0.6988434687482589,c_v
68,492.94594855199153,0.6961100620381971,c_v
70,481.4777374181617,0.690064892555986,c_v
72,478.6072261067698,0.7068196721788909,c_v
74,474.7721001822312,0.7015318344775084,c_v
76,475.0321795853115,0.7036674230898683,c_v
78,470.72686830436527,0.7097368670579713,c_v
80,463.7854035892116,0.7158128394931554,c_v
82,461.78995742343875,0.7204514609240905,c_v
84,458.2844752487724,0.7205438282163368,c_v
86,451.3456597523,0.720535278632197,c_v
88,450.23317802377494,0.7257064794613558,c_v
90,450.035333197258,0.728204514549838,c_v
92,445.28714258072506,0.7277777616420515,c_v
94,441.43720801197526,0.7316141502654302,c_v
96,439.1509846967475,0.7298625914379954,c_v
98,440.53691947045786,0.7397166341239091,c_v
100,430.67109345360853,0.7414817266166209,c_v
