,topic number,label,keywords
0,0,practitioners themes policymakers findings articles,literature review applications industry intelligence adoption findings application studies impact
1,1,smart-contracts solidity ethereum code execution,smart-contracts ethereum transactions solution implementation platform applications trust application framework
2,2,focus conference conference papers proceedings proceedings topics focus,learning detection topics papers proceedings machine conference algorithm prediction networks
3,3,sdn wireless edge fog devices,iot internet-of-things devices networks communication privacy applications architecture performance secure
4,4,decryption ciphertext signature keys encryption,scheme privacy encryption storage secure access authentication protection performance schemes
5,5,patient patients doctors health patient hospitals,health healthcare records privacy patients patient access record care secure
6,6,protocol nodes pow proof-of-work throughput liveness,consensus nodes transactions transaction performance block protocol blockchains bitcoin scalability
7,7,investors money investment cryptocurrencies currencies,cryptocurrency bitcoin market cryptocurrencies transactions money transaction article currency economy
8,8,food supply production logistics traceability,supply traceability application industry transparency quality production food efficiency platform
9,9,prosumers electricity microgrid prosumer trading p2p,energy power trading market grid electricity demand transaction resources consumption
